Subject ,Complaint Number,Province,"Municipality / 
City",Barangay,Sitio,Longitude,Latitude,"Google Map Link
(Location Point)",Nature of Reported Illegal Act,Type of Commodity (Non-metallics),Actions Taken,Details ,"Date of
Action Taken (mm/dd/yyyy)",Laws Violated,No. of CDO Issued,Date Issued (mm/dd/yyyy),Remarks
"Alleged illegal quarrying in Barangay Mahabang Parang, Binangonan, Rizal",MMD-IMC No. 2024-96,Rizal,Binangonan,Mahabang Parang,Sitio Bunot," 14°27'27"" N","121°12'42"" E","https://www.google.com/maps/search/?api=1&query=14°27'27"" N, 121°12'42"" E",Illegal Quarrying(Non-Metallic)/SAG Extraction,Escombro,Conducted Investigation,"A field investigation was conducted on 19 September 2024 by the Embedded Technical Personnel of this Office, together with a representative from the Barangay Local Government Unit of Mahabang Parang",9/19/2024,Theft of Minerals (Section 103 of RA 7942),0,NA,Letter dated 10/09/2024 to the Municipal Government of Binangonan; Letter dated 10/09/2024 to Complainant
"Alleged illegal gravel extraction at Sitio Canguisa, Brgy. Sto. Nino, San Francisco, Quezon",MMD-IMC No. 2024-98,Quezon,San Francisco,Sto. Nino,Canguisa," 13°18'38.789"" N","122°33'6.069"" E","https://www.google.com/maps/search/?api=1&query=13°18'38.789"" N, 122°33'6.069"" E",Illegal Quarrying(Non-Metallic)/SAG Extraction,Sand and Gravel,Conducted Investigation,"A field investigation was conducted on 28 August 2024 by the Embedded Technical Personnel of this Office, together with representatives from the Community Environment and Natural Resources Office Catanauan and Municipal Environment and Natural Resources Office of San Francisco",08/28/2024,Theft of Minerals (Section 103 of RA 7942),1,10/10/24,"Cease and Desist Order dated 10/10/2024 to Engr. Christian Flores of Arconic Inc., Letter dated 10/10/2024 to DPWH, Letter to Mr. Brejido Almasan dated 10/10/2024, and Letter to Mr. Emel Lauron dated 10/10/2024

Letter dated 12/16/2024 from Arconic Inc. informing this Office that (a) it has ordered its workers to cease from extracting any materials from Canguinsa River, and (b) it will comlply with the directive to plant 300 trees within the required period

Monitoring Report dated 1/6/2025 of CENRO Catanauan wherein it was found that no recent or active mining-related activities were observed within the vicinity"
"Alleged illegal quarrying and hauling operations in Brgy. Hoyo, Silang, Cavite",MMD-IMC No. 2024-99,Cavite,Silang,Hoyo,ND," 14°11'43"" N","122°0'22"" E","https://www.google.com/maps/search/?api=1&query=14°11'43"" N, 122°0'22"" E",Illegal Transport/Export of Minerals/Products/By-Products,Filling Materials,Conducted Investigation,"A field investigation was conducted on 20 & 23 September 2024 by the Embedded Technical Personnel of this Office, together with representatives from the Provincial Environment and Natural Resources Office Cavite and Municipal Environment and Natural Resources Office of Silang",9/20/2024 & 9/23/2024,Illegal Transport (Section 110 of RA 7942),0,NA,Letter to Mr. Arnold Vargas dated 10/11/2024 and Letter to Mr. Ian Andrew Babilonia datetd 10/11/2024
"Alleged continuous extraction, processing, and hauling of sand and gravel by Efren Ramirez Construction And General Services Corporation in Lobo River",MMD-IMC No. 2024-100,Batangas,Lobo,ND,ND,ND,ND,ND,Not Illegal Mining,Sand and Gravel,Conducted Investigation,A field investigaiton was conducted on 14 October 2024 by this Office.,10/14/2024,Not Applicable,NA,NA,Memorandum dated 10/15/2024 to USEC Cuna; Letter dated 10/15/2024 to Municipal Mayor of Lobo
"Alleged illegal treasure hunting or mining activities within the private properties of The Roman Catholic Archbishop of Manila in Brgy. Cayabu, Tanay, Rizal",MMD-IMC No. 2024-102,Rizal,Tanay,Cayabu,ND," 14°39'10"" N","121°20'56"" E","https://www.google.com/maps/search/?api=1&query=14°39'10"" N, 121°20'56"" E",Not Illegal Mining,Not Applicable,Conducted Investigation,"A field investigation was conducted on 08 October 2024 by the Embedded Technical Personnel of this Office, together with representatives from the Provincial Environment and Natural Resources Office of Rizal and Barangay Local Government Unit of Cayabu.",10/8/2024,Not Applicable,NA,NA,Letter dated 10/29/2024 to Complainant; Letter dated 10/29/2024 to Barangay Local Government Unit of Cayabu
"Alleged illegal quarrying operation in Brgy. Tatala, Binangonan, Rizal",MMD-IMC No. 2024-103,Rizal,Binangonan,Tatala,ND," 14°28'50.93""N","121°11'59.33""E","https://www.google.com/maps/search/?api=1&query=14°28'50.93""N, 121°11'59.33""E",Illegal Quarrying(Non-Metallic)/SAG Extraction,Filling Materials,Conducted Investigation,A field investigation was conducted on 22 October 2024 by personnel of the National Bureau of Investigation - Environmental Crime Division and this Office.,10/22/2024,Theft of Minerals (Section 103 of RA 7942),0,NA,"1. Investigation Report dated 11/18/2024
2. Seizure Receipt dated 10/22/2024 
3. Joint Judicial Affidavit of Arrest by NBI-EnCD filed on 10/25/2024"
"Alleged illegal underground mining in Brgy. Matikiw, Pakil, Laguna",MMD-IMC No. 2024-104,Laguna,Pakil,Matikiw,ND," 14.360647"" N","121.369072"" E","https://www.google.com/maps/search/?api=1&query=14.360647"" N, 121.369072"" E",Illegal Small-Scale Mining,Gold,Conducted Investigation,"A field investigation was conducted on 09 August 2024 by the Embedded Technical Personnel of this Office in Community Environment and Natural Resources – Calaca together with other government agencies
concerned.",8/9/2024,Violation of RA 7076 (Section 27 of RA 7076),1,11/11/24,"Cease and Desist Order dated 11/11/2024 to Mr. Resty Manalo

Memorandum dated 11/29/2024 from DENR RO No. IV CALABARZON endorsing the 8/20/2024 Investigation Report"
"Alleged illegal sand and rock collection in Brgy. Pinaglubayan, Polillo, Quezon",MMD-IMC No. 2024-106,Quezon,Polillo,Pinaglubayan,ND,ND,ND,ND,Illegal Exploration,Gold,Conducted Investigation,A field investigation was conducted on 07-08 November 2024 by the undersigned technical personnel of this Office.,"11/07/2024
11/08/2024",Illegal Exploration (Section 102 of RA 7942),0,NA,Letters dated 11/28/2024 to the Barangay Local Government Unit of Pinaglubayan and Municipal Government of Polillo
"Alleged illegal quarrying activities in the Municipalities of General Nakar and Infanta, Province of Quezon",MMD-IMC No. 2024-107,Quezon,General Nakar,Pamplona and Anoling,ND," 14°45'23.20""N","121°38'5.55""E","https://www.google.com/maps/search/?api=1&query=14°45'23.20""N, 121°38'5.55""E",Not Illegal Mining,Not Applicable,Conducted Investigation,"A field investigation was conducted on 05-06 November 2024 by this Office in the Municipalities of General Nakar and Infanta, Province of Quezon, in relation to the purported illegal quarrying operations within the subject areas. ","11/05/2024
11/06/2024",Not Applicable,NA,NA,"Letters dated 12/10/2024 to Complainant, Provincial Government of Quezon, and Municipal Government of General Nakar; Memorandum dated 12/10/2024 to DENR IV CALABARZON"
"Extraction activities within the permit areas of Mr. Bryan A. Laredo in the City of Tayabas, Province of Quezon",MMD-IMC No. 2024-109,Quezon,Tayabas,"Silangang Domoit
Tongko",ND," 13°58'38""N","121°35'55""E","https://www.google.com/maps/search/?api=1&query=13°58'38""N, 121°35'55""E",Not Illegal Mining,Not Applicable,Conducted Investigation,"A field investigation was conducted on 13 November 2024 by the Embedded Technical Personnel of this Office, together with representatives from the Community Environment and Natural Resources Office of Tayabas, City Environment and Natural Resources Office of Tayabas, and Barangay Local Government Unit of Silangang Domoit.",11/13/2024,Not Applicable,NA,NA,"Letter dated 11/29/2024 to the Provincial Government of Quezon

Letter dated 01/16/2025 to the Provincial Government of Quezon"
"Alleged illegal quarrying operations in Brgy. Sto. Niño, Lipa, Batangas",MMD-IMC No. 2024-110,Batangas,Lipa,Sto. Niño,ND,"13.958038"" N","121.209728"" E","https://www.google.com/maps/search/?api=1&query=13.958038"" N, 121.209728"" E",Not Illegal Mining,Not Applicable,Conducted Investigation,"A field investigation was conducted on 13 November 2024 by the Embedded Technical Personnel of this Office, together with representatives from the Community Environment and Natural Resources Office of Lipa and Barangay Local Government Unit of Sto. Niño.",11/13/2024,Not Applicable,NA,NA,"NA

No actions taken since CENRO Lipa has already sent a Letter dated 11/14/2024 to the City Mayor of Lipa, endosing the pertinent Investigation Report, with a recommendation to conduct regular monitoring to validate the compliance of NY Multi Mercantile Corp."
"Monitoring/Surveillance Activity of Quarry Operations in Brgy. Butucan, Nasugbu, Batangas",MMD-IMC No. 2024-111,Batangas,Nasugbu,Butucan,ND,ND,ND,ND,Not Illegal Mining,Not Applicable,Conducted Investigation,"A field inspection/monitoring was conducted on 13 November 2024 by the Embedded Technical Personnel of this Office, together with representatives from the Community Environment and Natural Resources Office of Calaca.",11/13/2024,Not Applicable,NA,NA,"Letter dated 12/09/2024 to the Provincial Government of Batangas endorsing the pertinent Investigation Report, for its perusal and appropriate action

Memorandum dated 12/19/2024 from DENR 4A endorsing the 11/15/2024 Investigation Report"
"Alleged illegal extraction of beach sand in Brgy. Poblacion VI, Quezon, Quezon",MMD-IMC No. 2024-112,Quezon,Quezon,Poblacion VI,ND,"14°00'35.391""N","122°11'22.206""E","https://www.google.com/maps/search/?api=1&query=14°00'35.391""N, 122°11'22.206""E",Batas Pambansa Blg. 265,Sand and Gravel,Conducted Investigation,"A field investigation was conducted on 12 November 2024 by the Embedded Technical Personnel of this Office, together with representatives from the Community Environment and Natural Resources Office of Calauag and Municipal Environment and Natural Resources Office of Quezon.",11/12/2024,Batas Pambansa 265,2,12/12/2024,"Cease and Desist Orders dated 12/12/2024 to Messrs. Russell Salvante and Roy Chacon; Letter dated 12/12/2024 to Barangay Chairman of Poblacion VI

Memorandum dated 12/16/2024 from DENR IV CALABARZON endorsing the 11/18/2024 Investigation Report"
"Alleged illegal extraction of sand and gravel at Sitio Biguangan, Brgy. Talisoy, Jomalig, Quezon",MMD-IMC No. 2024-114,Quezon,Jomalig,Talisoy,Biguangan,ND,ND,ND,Batas Pambansa Blg. 265,Sand and Gravel,Conducted Investigation,"A field investigaiton was conducted on 16 October 2024 by the Community Environment and Natural Resources Office of Real, Quezon.",10/16/2024,Batas Pambansa 265,1,12/12/2024,"Cease and Desist Order dated 12/12/2024 to Mr. Ronnie Lizano and Mrs. Liwanag Lizano 

Monitoring Report dated 06/10/2025 from CENRO Real, content of which disclosed that the individuals concerned have already ceased all extraction activities, demonstrating partial compliance with the CDO (planting of trees has yet to be conducted)"
"Alleged illegal mining operation in Brgy. San Isidro, Angono, Rizal",MMD-IMC No. 2024-115,Rizal,Angono,San Isidro,ND," 14°32'60""N","121°10'6""E","https://www.google.com/maps/search/?api=1&query=14°32'60""N, 121°10'6""E",Illegal Mineral Processing,Aggregates,Conducted Investigation,"A field investigaiton was conducted on 27 November 2024 by the Embedded Technical Personnel of this Office, together with a representative from the Provincial Government of Rizal.",11/27/2024,Theft of Minerals (Section 103 of RA 7942),1,12/12/2024,"Cease and Desist Order dated 12/12/2024 to PrimeEast Properties, Inc. and Raul Sison Builders, Inc. ; Letter dated 12/12/2024 to Complainant"
"Alleged illegal quarrying operations in the Municipality of Angono, Province of Rizal, which was featured on 03 August 2025 in one of the segments of Kapuso Mo, Jessica Soho television program",MMD-IMC No. 2024-115B,Rizal,Angono,San Isidro,ND," 14°32'60""N","121°10'6""E","https://www.google.com/maps/search/?api=1&query=14°32'60""N, 121°10'6""E",Illegal Mineral Processing,Aggregates,Conducted Investigation,"1. PrimeEast Properties, Inc. (PEPI) is undertaking land development activities for the Village East II Residential Subdivision Project, under Development Permit No. 91-0312 issued by the Housing and Land Use Regulatory Board;

2.  The said project is covered by an Environmental Compliance Certificate denominated as ECC No. ECC-RI-003-RS-93 issued by the Environmental Management Bureau RO No. IV CALABARZON on 22 April 2019;

3. PEPI was previously granted a Transport and Hauling Permit under the Provincial Mining Regulatory Board Resolution No. 2024-02, which was valid from 22 March 2024 to 20 July 2024; and

4. Despite the issuance of a Cease and Desist Order by this Office on 12 December 2024, continued presence of stockpiled processed materials and mobile crushing equipment was observed, suggesting that mineral processing activities remain ongoing.",8/4/2025,Theft of Minerals (Section 103 of RA 7942),0,NA,"Letters dated 8/6/2025 to PrimeEast Properties, Inc./R. Sison Builders, Inc. and Department of Human Settlements and Urban Development

Memoranda dated 8/6/2025 to DENR-Environmental Law Enforcement and Protection Services, Environmental Management Bureau Regional Office No. IV CALABARZON, MGB Centra Office, and DENR Regional Office No. IV CALABARZON"
"Alleged encroachment of the quarry of Ms. Helen Rivera in the private property of Ms. Ana Venus Rubio in Brgy. Tinandog, Atimonan, Quezon",MMD-IMC No. 2024-116,Quezon,Atimonan,Tinandog,ND," 13°59'54.992""N","121°52'51.639""E","https://www.google.com/maps/search/?api=1&query=13°59'54.992""N, 121°52'51.639""E",Not Illegal Mining,Not Applicable,Conducted Enforcement Activity based on MGB MC 2018-01,"A field investigation was conducted on 30 October 2024 by the Embedded Technical Personnel of this Office, together with the personnel of the Community Environment and Natural Resources Office of Calauag, Quezon",10/30/2024,Not Applicable,NA,NA,Letter dated 12/12/2024 to Ms. Ana Venus Rubio
"Joint inspection/ monitoring of quarry sites within the Municipality of Nasugbu, Province of Batangas",MMD-IMC No. 2024-117,Batangas,Nasugbu,ND,ND,ND,ND,ND,Not Illegal Mining,Not Applicable,Conducted Investigation,"A field inspection/monitoring was conducted on 26 November 2024 by the Embedded Technical Personnel of this Office, together with technical personnel from the Community Environment and Natural Resources Office of Calaca, Provincial Government Environment and Natural Resources Office of Batangas, Environmental Management Bureau Regional Office No. IV CALABARZON, and Municipal Government of Nasugbu",11/26/2024,Not Applicable,NA,NA,Letter dated 12/13/2024 to the Provincial Government of Batangas
